               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11447,            0.032186,            0.039144,          0.00070723,             0.22024,          0.00049439,          8.6463e-05,             0.10771,            0.021257,            0.036203,             0.00113,             0.00113,             0.08983
                   1,             0.10688,            0.028831,            0.035096,             0.34961,            0.025641,           0.0045157,          0.00076977,             0.10562,            0.020538,            0.034137,           0.0022699,           0.0022699,             0.07957
                   2,             0.10045,            0.029914,            0.031888,            0.038439,            0.051282,            0.012459,            0.002158,             0.10968,             0.02053,            0.043383,           0.0034097,           0.0034097,             0.06931
                   3,             0.09616,            0.029374,            0.030392,             0.71374,            0.025641,            0.010146,           0.0019907,              0.1007,            0.018391,            0.031184,            0.004549,            0.004549,            0.059049
                   4,            0.093744,            0.030031,            0.028803,           0.0055508,             0.40842,           0.0060607,           0.0010981,             0.09733,            0.018895,            0.028509,           0.0056878,           0.0056878,            0.048788
                   5,             0.09417,            0.031299,            0.026861,            0.024546,              0.3489,            0.023586,            0.004071,            0.094898,             0.01997,             0.02619,           0.0068258,           0.0068258,            0.038526
                   6,            0.089883,            0.031447,            0.025321,             0.68931,            0.038462,           0.0091704,           0.0025244,            0.095369,            0.020106,             0.02611,           0.0079629,           0.0079629,            0.028263
                   7,            0.090547,            0.033459,            0.024188,             0.73359,            0.064103,            0.040738,             0.01141,            0.094097,            0.020288,            0.024848,            0.009099,            0.009099,            0.017999
                   8,            0.087868,            0.033589,            0.022368,             0.42089,             0.11355,              0.0316,           0.0082277,            0.090823,            0.022278,             0.02445,           0.0099842,           0.0099842,           0.0099842
                   9,             0.08617,            0.032577,            0.022107,            0.035906,             0.17399,            0.013663,           0.0034562,            0.088308,            0.020535,            0.024182,           0.0099842,           0.0099842,           0.0099842
                  10,            0.084771,            0.030745,            0.019014,             0.10799,             0.11676,            0.028838,           0.0048375,             0.08549,             0.02013,            0.023584,             0.00998,             0.00998,             0.00998
                  11,            0.085722,             0.03232,            0.018081,             0.10464,             0.11584,            0.050517,           0.0080158,            0.085537,             0.02109,            0.020674,           0.0099753,           0.0099753,           0.0099753
                  12,            0.083137,            0.030852,            0.017485,             0.89872,            0.038462,            0.062803,            0.014809,            0.089894,            0.022634,            0.026661,           0.0099702,           0.0099702,           0.0099702
                  13,            0.081668,            0.032614,              0.0183,            0.068044,             0.31548,            0.041297,           0.0097896,            0.082337,            0.023653,            0.021529,           0.0099645,           0.0099645,           0.0099645
                  14,            0.079006,            0.031411,            0.016857,             0.62963,            0.087792,             0.12459,             0.02538,            0.080819,            0.021586,            0.022624,           0.0099584,           0.0099584,           0.0099584
                  15,            0.080338,             0.03279,            0.017282,             0.18551,             0.17995,            0.087012,            0.021059,             0.07505,            0.021916,            0.025949,           0.0099517,           0.0099517,           0.0099517
                  16,            0.077595,            0.033315,            0.014288,             0.15951,             0.20192,             0.13988,             0.02963,            0.073263,            0.020495,            0.018868,           0.0099446,           0.0099446,           0.0099446
                  17,            0.075845,            0.031014,            0.014318,             0.25511,             0.26328,             0.15459,            0.036521,            0.070897,            0.020857,            0.017141,            0.009937,            0.009937,            0.009937
                  18,            0.074878,            0.032048,            0.012983,              0.2639,             0.32784,             0.18799,            0.043001,            0.071125,            0.019823,            0.021305,           0.0099289,           0.0099289,           0.0099289
                  19,            0.073004,            0.031327,            0.012769,             0.28115,             0.28337,             0.14973,            0.043579,            0.070993,            0.021428,            0.017022,           0.0099203,           0.0099203,           0.0099203
                  20,            0.073314,            0.032206,            0.014309,             0.30189,             0.26923,             0.19105,            0.069521,            0.067751,            0.019442,            0.018026,           0.0099112,           0.0099112,           0.0099112
                  21,            0.072793,            0.031009,            0.013106,             0.24297,             0.34341,             0.17639,            0.052383,            0.068166,            0.019195,             0.01747,           0.0099017,           0.0099017,           0.0099017
                  22,            0.070116,            0.030031,            0.012325,             0.37788,             0.28736,             0.24611,            0.073736,            0.065951,            0.019356,            0.017683,           0.0098916,           0.0098916,           0.0098916
                  23,            0.071231,            0.030274,             0.01221,             0.75126,             0.20426,             0.26782,            0.078156,            0.065617,             0.01902,            0.020441,           0.0098811,           0.0098811,           0.0098811
                  24,            0.071049,            0.029962,            0.011902,             0.25617,             0.26511,             0.18553,            0.049541,            0.065224,            0.021309,            0.017972,           0.0098701,           0.0098701,           0.0098701
                  25,            0.068578,            0.031155,            0.011251,             0.34389,             0.31181,              0.2509,            0.084845,            0.064611,            0.017725,             0.02057,           0.0098586,           0.0098586,           0.0098586
                  26,            0.068052,            0.029531,            0.010609,             0.23691,             0.29067,             0.19569,            0.068141,            0.065369,             0.02053,            0.016499,           0.0098467,           0.0098467,           0.0098467
                  27,            0.067901,             0.02925,            0.011408,             0.57774,              0.3113,             0.32413,             0.12118,            0.062331,             0.01888,            0.022126,           0.0098342,           0.0098342,           0.0098342
                  28,             0.06653,            0.029783,             0.01234,             0.41296,             0.34223,             0.31595,             0.10224,            0.061632,            0.018163,               0.017,           0.0098213,           0.0098213,           0.0098213
                  29,            0.065916,            0.029467,            0.010661,             0.66907,             0.19963,             0.29612,             0.12311,            0.059005,            0.018863,            0.017258,           0.0098079,           0.0098079,           0.0098079
                  30,            0.067133,            0.029886,            0.010469,             0.41576,             0.36218,             0.36493,             0.14146,            0.057055,            0.018018,            0.014975,           0.0097941,           0.0097941,           0.0097941
                  31,             0.06356,             0.03016,           0.0099563,             0.43182,              0.3139,             0.33159,             0.12882,            0.061028,            0.021563,            0.015365,           0.0097798,           0.0097798,           0.0097798
                  32,            0.062176,            0.028364,            0.010812,             0.50172,             0.32463,             0.33101,             0.14191,            0.056132,            0.017738,            0.015956,            0.009765,            0.009765,            0.009765
                  33,             0.06225,            0.029355,           0.0095807,             0.63142,             0.24267,              0.2956,              0.1005,            0.059028,             0.01772,            0.019122,           0.0097497,           0.0097497,           0.0097497
                  34,            0.063199,            0.026878,           0.0099518,             0.54501,             0.36468,             0.38784,             0.14888,            0.059507,            0.017651,            0.014814,            0.009734,            0.009734,            0.009734
